"Story","Title","Result","Date","Stability","Duration (s)"
"Data driven user test","Data driven test for create multiple user","SUCCESS","2023-01-10T20:46:18.706Z[Europe/London]","0.0","123.31"
"User CRUD test","This method will create  a user","SUCCESS","2023-01-10T20:46:21.382Z[Europe/London]","0.0","0.61"
"User CRUD test","This method will verify that user is created","SUCCESS","2023-01-10T20:46:21.992Z[Europe/London]","0.0","0.91"
"User CRUD test","This method will update a user and verify that user is created","SUCCESS","2023-01-10T20:46:22.903Z[Europe/London]","0.0","0.58"
"User CRUD test","This method will delete user","SUCCESS","2023-01-10T20:46:23.481Z[Europe/London]","0.0","1.16"
"Tag test","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-10T20:46:29.601Z[Europe/London]","0.0","0.63"
"Tag test","Incorrectresources","SUCCESS","2023-01-10T20:46:30.231Z[Europe/London]","0.0","0.54"
"Testing different request on user from Petstore","As a user I want to check that T can create user","SUCCESS","2023-01-10T20:46:06.946Z[Europe/London]","0.0","14.39"
"Testing different request on user from Petstore","As a user I want to check that user is created","SUCCESS","2023-01-10T20:46:22.773Z[Europe/London]","0.0","1.02"
"Testing different request on user from Petstore","As a user I want to updaet user","SUCCESS","2023-01-10T20:46:23.862Z[Europe/London]","0.0","0.6"
"Testing different request on user from Petstore","As a user I want to delete the user","SUCCESS","2023-01-10T20:46:24.521Z[Europe/London]","0.0","1.3"
"Pet store CRUD Test","CRUD Test","SUCCESS","2023-01-10T20:46:25.907Z[Europe/London]","0.0","2.96"
